station,rows,non_null_count,test_mae,test_mse,test_rmse,full_mae,full_mse,full_rmse
E403,260,259,5.180846273899078,37.470449379472136,6.121311083376839,3.9336529788558425,31.46437804547298,5.609311726537666
E404,260,259,7.0401336550712585,408.48698029962856,20.21106084053058,5.348554009847028,114.35781418092023,10.693821308630524
E405,260,259,7.383662104606628,99.76446883889328,9.988216499400345,3.661832645124934,25.701151285061805,5.069630290766951
E407,260,259,2.8052526911099753,13.940376615463888,3.733681375728771,3.4430154486169333,22.013482714559235,4.691852801885331
E408,260,259,2.5529329379399615,18.262532427781192,4.273468430652225,3.038394994459869,17.05563140237766,4.12984641389697
E409,260,259,3.9634257356325784,44.586298498714235,6.677297245047148,3.6941712999147285,27.25711255486949,5.220834469207915
E410,260,259,4.856249749660492,36.53817947577937,6.0446819168405685,4.921840890088434,43.85313771895798,6.622170166868107
E411,260,259,7.416312416394551,119.65687579746562,10.938778533157421,8.753402869385127,119.1924363216877,10.917528856004353
E412,260,259,5.944933136304219,72.42435394977527,8.510249934624438,7.593745121835109,112.101072739392,10.587779405493485
E413,260,259,3.48135636250178,17.685854719612184,4.205455352231454,2.816396807978333,12.741163956069899,3.569476706195167
E414,260,259,3.3999268412590027,83.61515323094994,9.144132174840319,5.507886200548428,76.76544079306065,8.761588942255887
E415,260,259,6.721478382746379,149.3448025412847,12.220671116648411,5.52719475814056,60.60982065981683,7.785230931694758
E417,260,259,3.656855752070745,38.46207069674808,6.201779639486402,4.388498582286708,39.56150234299115,6.289793505592306
E418,260,259,2.6485836207866664,13.28428631533685,3.644761489499258,2.905948532765842,15.89602408952681,3.9869818270876043
E420,260,258,1.3970114962727418,4.7459566267765885,2.1785216608463154,1.3592469510385545,3.257223017087666,1.80477783039566
E421,260,259,4.5283640424410505,41.677989174944685,6.455849221825482,4.103983340225297,26.796671477384628,5.176550152117202
E423,260,257,3.374576743805047,17.323091521299848,4.1621018153452045,2.7716927642614086,18.232556402163986,4.269959765871803
E801,260,259,4.585704584916432,58.75840085625729,7.665402850226287,4.654155030876825,39.61809775958137,6.294290886158771
E802,260,259,6.926020006338756,107.09914007092253,10.34887143948182,10.22950000705523,277.14229254717475,16.647591193538325
E803,260,259,4.2411977251370745,31.792045009544285,5.638443491739922,4.617022793983089,39.31107329704943,6.2698543282160415
E804,260,258,5.289882620175679,38.847952222606146,6.232812545120072,2.8532110798642414,18.581238767291737,4.310596103474754
